rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
49,DHS Skyline 2 Provincial Blue Sponge,8.3,9.5,9.4,8.6,6.7,9.6,9.1,3.4,9.2,8.4,9.4,15,40.0
50,Andro Rasanter R53,9.5,9.4,8.9,1.4,7.6,9.1,9.4,6.2,9.2,9.2,9.4,38,57.0
51,Donic J.O. Waldner,8.2,8.8,8.8,3.1,4.2,5.2,9.3,3.2,9.0,8.0,9.4,11,37.0
52,Butterfly Dignics 80,9.4,9.2,9.0,1.7,5.7,6.7,8.1,5.4,10.0,8.6,9.4,28,72.0
53,Donic BlueGrip C2,9.2,9.4,9.1,5.6,6.5,9.2,9.0,7.3,9.7,7.6,9.4,38,55.0
54,Tibhar 5Q Update,9.1,9.1,9.0,2.4,4.8,5.1,9.1,5.8,10.0,8.5,9.4,10,58.0
55,Tibhar Grip-S,8.6,9.2,8.6,6.8,6.5,6.6,8.6,6.2,8.8,7.3,9.4,27,45.0
56,Xiom Sigma II Euro,9.2,9.4,9.1,1.9,5.4,4.9,9.1,5.7,9.8,7.7,9.4,37,45.0
57,Andro Rasant Turbo,9.5,9.1,8.4,1.5,5.9,7.0,8.9,5.1,9.4,9.1,9.4,39,43.0
58,Tibhar Rapid X-Press,9.2,9.2,8.3,3.8,3.8,5.3,8.9,4.0,5.5,6.4,9.4,15,44.0
59,Haifu White Shark II (2) (Tuned),8.7,8.1,8.5,2.2,3.7,2.8,6.8,3.5,7.5,5.5,9.4,13,26.0
60,Tibhar Evolution MX-P 50,9.3,9.4,9.0,2.3,7.5,9.5,9.0,4.0,9.3,8.4,9.4,31,49.0
61,Gewo NanoFLEX FT45,9.1,9.4,9.4,0.7,4.4,5.3,8.3,6.5,8.9,8.4,9.4,15,30.0
62,Tibhar Evolution MX-P,9.5,9.3,8.7,2.3,6.4,7.0,8.8,5.6,9.0,7.1,9.4,136,49.0
63,Yasaka Rising Dragon,8.9,9.5,9.3,5.9,5.6,6.5,9.1,4.4,8.7,8.0,9.4,72,28.0
64,Yasaka Mark V HPS,9.0,9.1,9.1,4.0,3.7,4.7,8.9,4.2,9.0,7.8,9.4,62,50.0
65,JOOLA Maxxx 500,9.4,9.3,9.1,2.4,6.5,8.5,7.9,7.3,8.8,7.2,9.4,17,41.0
66,Yasaka Xtend HS,9.3,9.3,9.2,2.2,3.5,2.4,7.5,2.7,8.8,6.7,9.4,31,44.0
67,DHS Hurricane 3 Provincial (No. 22 Blue Sponge),9.2,9.4,9.3,7.6,6.3,7.7,8.6,6.1,8.6,8.4,9.4,34,65.0
68,Gewo Proton Neo 325,7.8,9.1,9.2,0.5,1.2,0.5,7.2,6.4,9.2,7.8,9.4,17,42.0
69,Yasaka Rakza XX,9.3,9.1,8.7,1.7,5.2,7.0,8.3,6.0,10.0,7.0,9.4,10,78.0
70,Gewo NanoFLEX FT40,8.6,9.4,9.4,1.1,3.9,3.2,7.9,7.5,10.0,8.3,9.4,23,60.0
71,Tibhar Evolution EL-P,9.1,9.2,9.0,2.2,5.8,5.1,8.2,5.3,9.6,8.2,9.4,70,40.0
72,Xiom Omega IV Euro,9.0,9.3,8.9,2.5,4.3,5.0,8.5,5.6,9.3,7.6,9.4,43,50.0
73,Adidas Tenzone Ultra,9.2,9.4,8.9,2.3,5.2,7.2,8.3,6.1,9.4,8.3,9.4,19,50.0
74,Palio Aeolus,9.3,9.2,9.4,4.4,5.3,6.8,9.3,5.8,9.4,8.3,9.4,10,53.0
75,Nittaku Renanos Hold,8.9,9.4,9.1,4.1,4.8,6.0,8.9,5.1,9.4,8.0,9.4,39,40.0
76,Friendship/729 Battle II  Provincial Blue Sponge,8.9,9.4,9.1,8.5,6.2,8.7,9.4,3.8,9.2,8.5,9.4,38,34.0
77,Nittaku Fastarc G-1,9.0,9.3,9.1,2.4,5.5,6.7,9.2,6.1,9.7,8.8,9.4,175,60.0
78,Nittaku Sieger PK50,8.6,9.2,9.2,6.1,6.2,8.5,8.9,6.0,9.5,7.5,9.4,54,44.0
79,Gewo Hype XT Pro 50.0,9.3,9.3,9.1,2.2,6.0,7.7,9.0,5.9,8.9,8.2,9.4,26,48.0
80,Gewo Proton Neo 450,9.0,9.3,9.4,0.0,4.0,4.6,8.5,6.2,8.8,9.4,9.4,14,34.0
